# z [mm] 	 bx [T] 	 by [T]
-9.99994e-01	0.00000e+00	-7.63060e-04
-9.99944e-01	0.00000e+00	-7.62573e-04
-9.99894e-01	0.00000e+00	-7.62086e-04
-9.99844e-01	0.00000e+00	-7.61599e-04
-9.99794e-01	0.00000e+00	-7.61113e-04
-9.99744e-01	0.00000e+00	-7.60627e-04
-9.99694e-01	0.00000e+00	-7.60141e-04
-9.99644e-01	0.00000e+00	-7.59656e-04
-9.99594e-01	0.00000e+00	-7.59172e-04
-9.99544e-01	0.00000e+00	-7.58688e-04
-9.99494e-01	0.00000e+00	-7.58204e-04
-9.99444e-01	0.00000e+00	-7.57721e-04
-9.99394e-01	0.00000e+00	-7.57238e-04
-9.99344e-01	0.00000e+00	-7.56755e-04
-9.99294e-01	0.00000e+00	-7.56273e-04
-9.99244e-01	0.00000e+00	-7.55791e-04
-9.99194e-01	0.00000e+00	-7.55310e-04
-9.99144e-01	0.00000e+00	-7.54829e-04
-9.99094e-01	0.00000e+00	-7.54349e-04
-9.99044e-01	0.00000e+00	-7.53869e-04
-9.98994e-01	0.00000e+00	-7.53389e-04
-9.98944e-01	0.00000e+00	-7.52910e-04
-9.98894e-01	0.00000e+00	-7.52432e-04
-9.98844e-01	0.00000e+00	-7.51953e-04
-9.98794e-01	0.00000e+00	-7.51475e-04
-9.98744e-01	0.00000e+00	-7.50998e-04
-9.98694e-01	0.00000e+00	-7.50521e-04
-9.98644e-01	0.00000e+00	-7.50044e-04
-9.98594e-01	0.00000e+00	-7.49568e-04
-9.98544e-01	0.00000e+00	-7.49092e-04
-9.98494e-01	0.00000e+00	-7.48617e-04
-9.98444e-01	0.00000e+00	-7.48142e-04
-9.98394e-01	0.00000e+00	-7.47667e-04
-9.98344e-01	0.00000e+00	-7.47193e-04
-9.98294e-01	0.00000e+00	-7.46719e-04
-9.98244e-01	0.00000e+00	-7.46246e-04
-9.98194e-01	0.00000e+00	-7.45773e-04
-9.98144e-01	0.00000e+00	-7.45300e-04
-9.98094e-01	0.00000e+00	-7.44828e-04
-9.98044e-01	0.00000e+00	-7.44356e-04
-9.97994e-01	0.00000e+00	-7.43885e-04
-9.97944e-01	0.00000e+00	-7.43414e-04
-9.97894e-01	0.00000e+00	-7.42944e-04
-9.97844e-01	0.00000e+00	-7.42473e-04
-9.97795e-01	0.00000e+00	-7.42004e-04
-9.97745e-01	0.00000e+00	-7.41534e-04
-9.97695e-01	0.00000e+00	-7.41066e-04
-9.97645e-01	0.00000e+00	-7.40597e-04
-9.97595e-01	0.00000e+00	-7.40129e-04
-9.97545e-01	0.00000e+00	-7.39661e-04
-9.97495e-01	0.00000e+00	-7.39194e-04
-9.97445e-01	0.00000e+00	-7.38727e-04
-9.97395e-01	0.00000e+00	-7.38261e-04
-9.97345e-01	0.00000e+00	-7.37795e-04
-9.97295e-01	0.00000e+00	-7.37329e-04
-9.97245e-01	0.00000e+00	-7.36864e-04
-9.97195e-01	0.00000e+00	-7.36399e-04
-9.97145e-01	0.00000e+00	-7.35935e-04
-9.97095e-01	0.00000e+00	-7.35470e-04
-9.97045e-01	0.00000e+00	-7.35007e-04
-9.96995e-01	0.00000e+00	-7.34544e-04
-9.96945e-01	0.00000e+00	-7.34081e-04
-9.96895e-01	0.00000e+00	-7.33618e-04
-9.96845e-01	0.00000e+00	-7.33156e-04
-9.96795e-01	0.00000e+00	-7.32695e-04
-9.96745e-01	0.00000e+00	-7.32233e-04
-9.96695e-01	0.00000e+00	-7.31772e-04
-9.96645e-01	0.00000e+00	-7.31312e-04
-9.96595e-01	0.00000e+00	-7.30852e-04
-9.96545e-01	0.00000e+00	-7.30392e-04
-9.96495e-01	0.00000e+00	-7.29933e-04
-9.96445e-01	0.00000e+00	-7.29474e-04
-9.96395e-01	0.00000e+00	-7.29016e-04
-9.96345e-01	0.00000e+00	-7.28558e-04
-9.96295e-01	0.00000e+00	-7.28100e-04
-9.96245e-01	0.00000e+00	-7.27643e-04
-9.96195e-01	0.00000e+00	-7.27186e-04
-9.96145e-01	0.00000e+00	-7.26729e-04
-9.96095e-01	0.00000e+00	-7.26273e-04
-9.96045e-01	0.00000e+00	-7.25817e-04
-9.95995e-01	0.00000e+00	-7.25362e-04
-9.95945e-01	0.00000e+00	-7.24907e-04
-9.95895e-01	0.00000e+00	-7.24452e-04
-9.95845e-01	0.00000e+00	-7.23998e-04
-9.95795e-01	0.00000e+00	-7.23545e-04
-9.95745e-01	0.00000e+00	-7.23091e-04
-9.95695e-01	0.00000e+00	-7.22638e-04
-9.95645e-01	0.00000e+00	-7.22186e-04
-9.95595e-01	0.00000e+00	-7.21733e-04
-9.95545e-01	0.00000e+00	-7.21281e-04
-9.95495e-01	0.00000e+00	-7.20830e-04
-9.95445e-01	0.00000e+00	-7.20379e-04
-9.95395e-01	0.00000e+00	-7.19928e-04
-9.95345e-01	0.00000e+00	-7.19478e-04
-9.95295e-01	0.00000e+00	-7.19028e-04
-9.95245e-01	0.00000e+00	-7.18579e-04
-9.95195e-01	0.00000e+00	-7.18130e-04
-9.95145e-01	0.00000e+00	-7.17681e-04
-9.95095e-01	0.00000e+00	-7.17232e-04
-9.95045e-01	0.00000e+00	-7.16784e-04
-9.94995e-01	0.00000e+00	-7.16337e-04
-9.94945e-01	0.00000e+00	-7.15890e-04
-9.94895e-01	0.00000e+00	-7.15443e-04
-9.94845e-01	0.00000e+00	-7.14996e-04
-9.94795e-01	0.00000e+00	-7.14550e-04
-9.94745e-01	0.00000e+00	-7.14105e-04
-9.94695e-01	0.00000e+00	-7.13659e-04
-9.94645e-01	0.00000e+00	-7.13214e-04
-9.94595e-01	0.00000e+00	-7.12770e-04
-9.94545e-01	0.00000e+00	-7.12326e-04
-9.94495e-01	0.00000e+00	-7.11882e-04
-9.94445e-01	0.00000e+00	-7.11439e-04
-9.94395e-01	0.00000e+00	-7.10996e-04
-9.94346e-01	0.00000e+00	-7.10553e-04
-9.94296e-01	0.00000e+00	-7.10111e-04
-9.94246e-01	0.00000e+00	-7.09669e-04
-9.94196e-01	0.00000e+00	-7.09227e-04
-9.94146e-01	0.00000e+00	-7.08786e-04
-9.94096e-01	0.00000e+00	-7.08345e-04
-9.94046e-01	0.00000e+00	-7.07905e-04
-9.93996e-01	0.00000e+00	-7.07465e-04
-9.93946e-01	0.00000e+00	-7.07025e-04
-9.93896e-01	0.00000e+00	-7.06586e-04
-9.93846e-01	0.00000e+00	-7.06147e-04
-9.93796e-01	0.00000e+00	-7.05709e-04
-9.93746e-01	0.00000e+00	-7.05271e-04
-9.93696e-01	0.00000e+00	-7.04833e-04
-9.93646e-01	0.00000e+00	-7.04396e-04
-9.93596e-01	0.00000e+00	-7.03959e-04
-9.93546e-01	0.00000e+00	-7.03522e-04
-9.93496e-01	0.00000e+00	-7.03086e-04
-9.93446e-01	0.00000e+00	-7.02650e-04
-9.93396e-01	0.00000e+00	-7.02214e-04
-9.93346e-01	0.00000e+00	-7.01779e-04
-9.93296e-01	0.00000e+00	-7.01344e-04
-9.93246e-01	0.00000e+00	-7.00910e-04
-9.93196e-01	0.00000e+00	-7.00476e-04
-9.93146e-01	0.00000e+00	-7.00042e-04
-9.93096e-01	0.00000e+00	-6.99609e-04
-9.93046e-01	0.00000e+00	-6.99176e-04
-9.92996e-01	0.00000e+00	-6.98744e-04
-9.92946e-01	0.00000e+00	-6.98311e-04
-9.92896e-01	0.00000e+00	-6.97880e-04
-9.92846e-01	0.00000e+00	-6.97448e-04
-9.92796e-01	0.00000e+00	-6.97017e-04
